#Compiled by SeeTweet 2.1.7b.
#Search performed at 2013-10-14 15:28
#Search location: U.S. 4-location coverage points (Texas, KC, SD, SF)
#Search term: y'all
source,city,state,lat,long,uid,tid,center,incl
geo,unk,unk,31.20464355,-81.49676695,1388076805,389880374362669056,0,1
citystate,birmingham,al,33.5206608,-86.80249,375410402,389880348366344192,0,1
citystate,shreveport,la,32.5251516,-93.7501789,29634943,389880341978042368,0,1
citystate,cedar key,fl,29.1385785,-83.0351212,78724603,389880340971388928,0,1
citystate,savannah,ga,32.0835407,-81.0998342,516754715,389880337553457152,0,1
citystate,mobile,al,30.6943566,-88.0430541,168275840,389880329827123200,0,1
citystate,louisville,ky,38.2542376,-85.759407,65929625,389880329257123840,0,1
citystate,atlanta,ga,33.7489954,-84.3879824,18958059,389880324592635904,0,1
citystate,greenville,nc,35.612661,-77.3663538,72612038,389880317731168256,0,1
citystate,orlando,fl,28.5383355,-81.3792365,1641889015,389880313167347712,0,1
ut,unk,unk,33.783314,-84.391098,76302593,389880309631946752,0,1
citystate,bishopville,sc,34.2182107,-80.2484056,254240940,389880301716901888,0,1
geo,unk,unk,33.5667728,-112.18398098,51517534,389880291327623168,0,1
geo,unk,unk,42.88444486,-85.526948,19118871,389880283060662272,0,1
knowncity,chicago,unk,41.88,-87.62,505283334,389880281714262016,0,1
citystate,myrtle beach,sc,33.6890603,-78.8866943,385079601,389880271207940096,0,1
citystate,paterson,nj,40.9167654,-74.171811,36545056,389880262789980160,0,1
geo,unk,unk,34.74146337,-82.27028063,55838847,389880257940975616,0,1
citystate,corpus christi,tx,27.8005828,-97.396381,382301784,389880249015873538,0,1
knowncity,dallas,unk,32.78,-96.8,27382087,389880246503084033,0,1
knowncity,brooklyn,unk,40.69,-73.99,179991853,389880237821280256,0,1
citystate,bradenton,fl,27.4989278,-82.5748194,412434015,389880231227834368,0,1
citystate,nashville,tn,36.1658899,-86.7844432,46145249,389880230850347008,0,1
citystate,north ridgeville,oh,41.3894905,-82.0190321,445073115,389880217466306560,0,1
geo,unk,unk,43.06469119,-75.31365292,344519524,389880206854336512,0,1
citystate,tampa,fl,27.9475216,-82.4584279,796110985,389880201536360450,0,1
geo,unk,unk,30.55238296,-97.68234272,127434228,389880175912955905,0,1
knowncity,tampa,unk,27.97,-82.46,467853703,389880173602279424,0,1
knowncity,new orleans,unk,29.97,-90.05,305947071,389880160737964032,0,1
citystate,lexington,ky,37.9886892,-84.4777153,230279337,389880151523467264,0,1
